cntyname,year,mean_vax_rate
Alcona,2013,50
Alcona,2014,48.3875
Alcona,2015,48.6875
Alcona,2016,66.3375
Alcona,2017,68.46249999999999
Alcona,2018,65.65
Alcona,2019,69.2375
Alcona,2020,68.3875
Alcona,2021,65.41666666666667
Alcona,2022,67.1125
Alcona,2023,64.525
Alcona,2024,69.0625
Alger,2013,69.75
Alger,2014,66.6
Alger,2015,64.45
Alger,2016,53.300000000000004
Alger,2017,63.025
Alger,2018,69.2875
Alger,2019,74.51249999999999
Alger,2020,70.475
Alger,2021,68.28333333333333
Alger,2022,62.025
Alger,2023,65.3875
Alger,2024,69.4
Allegan,2013,72
Allegan,2014,69.975
Allegan,2015,70.875
Allegan,2016,73.3625
Allegan,2017,74.7125
Allegan,2018,75.7375
Allegan,2019,77.325
Allegan,2020,74.3625
Allegan,2021,73.14999999999999
Allegan,2022,72.71249999999999
Allegan,2023,71.0375
Allegan,2024,68.3125
Alpena,2013,66.3
Alpena,2014,61.925000000000004
Alpena,2015,61.125
Alpena,2016,67
Alpena,2017,70.0875
Alpena,2018,70.7375
Alpena,2019,71.6
Alpena,2020,68.0125
Alpena,2021,69.4
Alpena,2022,71.6125
Alpena,2023,69.53750000000001
Alpena,2024,71.6375
Antrim,2013,66.8
Antrim,2014,63.8125
Antrim,2015,60.625
Antrim,2016,64.9375
Antrim,2017,65.1875
Antrim,2018,65.78750000000001
Antrim,2019,65.975
Antrim,2020,59.775
Antrim,2021,61.85
Antrim,2022,63.325
Antrim,2023,59.6375
Antrim,2024,63.825
Arenac,2013,58.75
Arenac,2014,59.4625
Arenac,2015,61.3125
Arenac,2016,66.82499999999999
Arenac,2017,70.55
Arenac,2018,73.2875
Arenac,2019,75.17500000000001
Arenac,2020,69.5625
Arenac,2021,69.33333333333333
Arenac,2022,70.5
Arenac,2023,67.27499999999999
Arenac,2024,67.75
Baraga,2013,66.05
Baraga,2014,66.4625
Baraga,2015,65.15
Baraga,2016,66.9875
Baraga,2017,72.025
Baraga,2018,64.225
Baraga,2019,64.45
Baraga,2020,65.775
Baraga,2021,66.83333333333334
Baraga,2022,68.28750000000001
Baraga,2023,61.8625
Baraga,2024,57.5375
Barry,2013,62.95
Barry,2014,62.4875
Barry,2015,63.97500000000001
Barry,2016,66.8625
Barry,2017,69.0375
Barry,2018,69.35
Barry,2019,69.86250000000001
Barry,2020,66.35
Barry,2021,66.06666666666666
Barry,2022,62.9
Barry,2023,62.8125
Barry,2024,63.3125
Bay,2013,72.85
Bay,2014,71.1375
Bay,2015,73.25
Bay,2016,72.3
Bay,2017,73.5625
Bay,2018,73.625
Bay,2019,74.01249999999999
Bay,2020,72.65
Bay,2021,73.48333333333333
Bay,2022,73.975
Bay,2023,73.2125
Bay,2024,74.95
Benzie,2013,69.7
Benzie,2014,65.8875
Benzie,2015,67.6875
Benzie,2016,70.475
Benzie,2017,69.1375
Benzie,2018,68.7875
Benzie,2019,68.2125
Benzie,2020,62.3375
Benzie,2021,61.233333333333334
Benzie,2022,63.65
Benzie,2023,66.05
Benzie,2024,64.4125
Berrien,2013,55.45
Berrien,2014,54.075
Berrien,2015,54.025
Berrien,2016,57.7625
Berrien,2017,59.575
Berrien,2018,59.3
Berrien,2019,59.137499999999996
Berrien,2020,57.5875
Berrien,2021,58.233333333333334
Berrien,2022,59.925000000000004
Berrien,2023,58.949999999999996
Berrien,2024,57.5875
Branch,2013,65.85
Branch,2014,64.475
Branch,2015,68.5875
Branch,2016,66.2875
Branch,2017,67.8125
Branch,2018,65.125
Branch,2019,60.4
Branch,2020,55.225
Branch,2021,55.03333333333334
Branch,2022,54.6
Branch,2023,56.2
Branch,2024,53.725
Calhoun,2013,67.05
Calhoun,2014,66.2875
Calhoun,2015,71.1625
Calhoun,2016,72.9375
Calhoun,2017,70.5
Calhoun,2018,67.15
Calhoun,2019,67.6625
Calhoun,2020,63.125
Calhoun,2021,61
Calhoun,2022,60.862500000000004
Calhoun,2023,60.6875
Calhoun,2024,60.3375
Cass,2013,56.7
Cass,2014,57.2125
Cass,2015,54.25
Cass,2016,55.225
Cass,2017,61.75
Cass,2018,59.925
Cass,2019,59.0625
Cass,2020,56.45
Cass,2021,54.03333333333333
Cass,2022,56.225
Cass,2023,57.6625
Cass,2024,58.15
Charlevoix,2013,64.75
Charlevoix,2014,62.1875
Charlevoix,2015,65.025
Charlevoix,2016,65.6625
Charlevoix,2017,63.525
Charlevoix,2018,65.85
Charlevoix,2019,68.3125
Charlevoix,2020,67.9375
Charlevoix,2021,70.95
Charlevoix,2022,71.7
Charlevoix,2023,69.91250000000001
Charlevoix,2024,65.9375
Cheboygan,2013,49.45
Cheboygan,2014,51.5625
Cheboygan,2015,54.225
Cheboygan,2016,59.575
Cheboygan,2017,65.52499999999999
Cheboygan,2018,66.475
Cheboygan,2019,68.8875
Cheboygan,2020,66.85
Cheboygan,2021,65.53333333333333
Cheboygan,2022,68.325
Cheboygan,2023,64.225
Cheboygan,2024,60.6125
Chippewa,2013,53.65
Chippewa,2014,52.1125
Chippewa,2015,54.612500000000004
Chippewa,2016,55.5125
Chippewa,2017,54.05
Chippewa,2018,63.0625
Chippewa,2019,67.025
Chippewa,2020,60.5625
Chippewa,2021,57.71666666666667
Chippewa,2022,56.875
Chippewa,2023,54.6875
Chippewa,2024,52.724999999999994
Clare,2013,59.9
Clare,2014,54.737500000000004
Clare,2015,54.925
Clare,2016,60.475
Clare,2017,62.724999999999994
Clare,2018,61.8875
Clare,2019,62.175
Clare,2020,58.2875
Clare,2021,56.86666666666667
Clare,2022,57.724999999999994
Clare,2023,53.3875
Clare,2024,54.225
Clinton,2013,56.349999999999994
Clinton,2014,56.85
Clinton,2015,59.675
Clinton,2016,59.7875
Clinton,2017,61.6875
Clinton,2018,65.85
Clinton,2019,67.125
Clinton,2020,66.5875
Clinton,2021,71.46666666666665
Clinton,2022,74.8
Clinton,2023,73.2625
Clinton,2024,70.9875
Crawford,2013,69.9
Crawford,2014,67.15
Crawford,2015,62.537499999999994
Crawford,2016,58
Crawford,2017,58.975
Crawford,2018,57.699999999999996
Crawford,2019,65.85
Crawford,2020,62.262499999999996
Crawford,2021,55.550000000000004
Crawford,2022,58.925
Crawford,2023,66.1125
Crawford,2024,70.0875
Delta,2013,60.85
Delta,2014,58.2875
Delta,2015,58.575
Delta,2016,61
Delta,2017,63.1375
Delta,2018,64.4875
Delta,2019,67.6
Delta,2020,68.8375
Delta,2021,69.31666666666666
Delta,2022,66.45
Delta,2023,67.2625
Delta,2024,70.625
Detroit,2013,54.7
Detroit,2014,52.975
Detroit,2015,52
Detroit,2016,52.275000000000006
Detroit,2017,52.375
Detroit,2018,51.3125
Detroit,2019,49.775
Detroit,2020,44.3125
Detroit,2021,42.93333333333333
Detroit,2022,44.5125
Detroit,2023,47.8375
Detroit,2024,49.9375
Dickinson,2013,64.7
Dickinson,2014,63.6375
Dickinson,2015,61.6125
