"","cntyname","pct_change_14_24","estimate"
"1","Iosco",55.6047700170358,47777
"2","Montmorency",7.37179487179487,47803
"3","Gogebic",5.17334777898159,49672
"4","Lake",14.9399951016409,49680
"5","Clare",26.3065693430657,49805
"6","Oscoda",21.4033850493653,50581
"7","Ontonagon",18.4903748733536,51844
"8","Alpena",40.0329942260105,51909
"9","Ogemaw",57.4632352941176,51983
"10","Alcona",27.5155601659751,53568
"11","Iron",6.87311178247734,53614
"12","Isabella",35.0951974992896,53759
"13","Keweenaw",4.1018387553041,53893
"14","Roscommon",16.7234664070107,54106
"15","Luce",13.6039360393604,54338
"16","Delta",30.5477131564088,54829
"17","Baraga",6.26506024096386,55117
"18","Gladwin",13.6459989401166,55576
"19","Menominee",43.4053651266766,55688
"20","Houghton",16.8966574670346,56573
"21","Presque Isle",19.7162779514306,56713
"22","Huron",10.0669536107126,56963
"23","Arenac",44.026284348865,56989
"24","Osceola",18.3395872420263,57050
"25","Schoolcraft",12.3642809660979,57708
"26","Mecosta",33.7296101741775,57774
"27","Saginaw",34.4137542277339,58347
"28","Mackinac",-2.28528377699648,58598
"29","Crawford",14.8489140698772,58614
"30","Sanilac",38.3353584447144,59074
"31","Alger",21.3813979086406,59406
"32","Wayne",48.0204342273308,59521
"33","Kalkaska",8.86491557223265,60365
"34","Calhoun",9.37274693583275,60385
"35","Bay",32.0337197049526,60523
"36","Chippewa",2.19780219780219,60631
"37","Genesee",39.4388398486759,60673
"38","Hillsdale",7.80376207422472,60869
"39","Manistee",27.860307531926,60879
"40","Gratiot",28.4061696658098,61128
"41","Cheboygan",42.4692769362675,61619
"42","Missaukee",12.449320295731,61868
"43","Dickinson",25.3661087866109,61882
"44","Newaygo",16.7934925216479,61931
"45","Branch",15.2651312265667,61958
"46","Mason",30.0378173960022,62296
"47","Tuscola",28.9488320355951,62847
"48","Wexford",15.1969561324978,63123
"49","Berrien",18.9820359281437,63152
"50","Muskegon",16.3015909614941,63495
"51","Oceana",18.4498736310025,63624
"52","Ingham",39.3081761006289,64354
"53","Shiawassee",43.4537914691943,64464
"54","Marquette",30.1627670396745,64675
"55","St. Joseph",16.9018312818973,64707
"56","Montcalm",34.2758985200846,64892
"57","Jackson",23.929720366246,65004
"58","Van Buren",23.1939163498099,66902
"59","Lenawee",31.5315315315315,67013
"60","Otsego",24.7829739568748,67285
"61","Cass",10.8868501529052,68011
"62","St. Clair",29.6953564034309,69349
"63","Kalamazoo",12.9314420803782,70525
"64","Antrim",10.6344721294631,71421
"65","Benzie",37.7711738484398,72603
"66","Ionia",34.3448275862069,73436
"67","Emmet",30.0737503414368,73724
"68","Monroe",16.0879260911118,75272
"69","Lapeer",34.7416314592135,76228
"70","Macomb",38.0219129404797,76399
"71","Charlevoix",37.0777027027027,76495
"72","Midland",29.5232936078007,77538
"73","Barry",30.4336329984135,77873
"74","Eaton",38.6016451233843,78025
"75","Grand Traverse",23.0202578268877,79486
"76","Allegan",19.3110140708394,80255
"77","Kent",29.9689440993789,80390
"78","Clinton",42.3472301541976,85928
"79","Ottawa",29.7637003519357,87144
"80","Washtenaw",48.6164736164736,87156
"81","Leelanau",35.9596596281122,91943
"82","Oakland",46.161449752883,95296
"83","Livingston",31.2888888888889,101315
