cntyname,year,mean_vax_rate
Alcona,2013,44.550000000000004
Alcona,2014,48.2
Alcona,2015,54.349999999999994
Alcona,2016,56.4
Alcona,2017,66.17500000000001
Alcona,2018,70.525
Alcona,2019,69.85
Alcona,2020,69.4
Alcona,2021,68.3
Alcona,2022,65.7
Alcona,2023,63.725
Alcona,2024,61.4625
Alger,2013,41.2
Alger,2014,45.425000000000004
Alger,2015,51.625
Alger,2016,50.8125
Alger,2017,55.099999999999994
Alger,2018,58.375
Alger,2019,58.975
Alger,2020,56.975
Alger,2021,57.36666666666667
Alger,2022,55.849999999999994
Alger,2023,56.3125
Alger,2024,55.1375
Allegan,2013,47.85
Allegan,2014,51.525
Allegan,2015,57.375
Allegan,2016,59.9875
Allegan,2017,64.625
Allegan,2018,66.3125
Allegan,2019,65.1125
Allegan,2020,65.375
Allegan,2021,64.25
Allegan,2022,63.474999999999994
Allegan,2023,63.2375
Allegan,2024,61.475
Alpena,2013,41.95
Alpena,2014,45.4625
Alpena,2015,53.025
Alpena,2016,56.787499999999994
Alpena,2017,63.512499999999996
Alpena,2018,63.8375
Alpena,2019,63.6875
Alpena,2020,62.95
Alpena,2021,63.050000000000004
Alpena,2022,64.175
Alpena,2023,64.2625
Alpena,2024,63.6625
Antrim,2013,45.65
Antrim,2014,48.6625
Antrim,2015,53.85
Antrim,2016,56.5125
Antrim,2017,62.3
Antrim,2018,62.8
Antrim,2019,61.75
Antrim,2020,60.75
Antrim,2021,58.5
Antrim,2022,57.425000000000004
Antrim,2023,56.8125
Antrim,2024,53.8375
Arenac,2013,39.1
Arenac,2014,41.85
Arenac,2015,50.537499999999994
Arenac,2016,52.925000000000004
Arenac,2017,59.1
Arenac,2018,61.275
Arenac,2019,62.175
Arenac,2020,61.95
Arenac,2021,61.08333333333333
Arenac,2022,61.625
Arenac,2023,61.55
Arenac,2024,60.275
Baraga,2013,47.099999999999994
Baraga,2014,51.875
Baraga,2015,56.5
Baraga,2016,59.5125
Baraga,2017,64.0125
Baraga,2018,63.35
Baraga,2019,64.47500000000001
Baraga,2020,63.8625
Baraga,2021,61.583333333333336
Baraga,2022,59.475
Baraga,2023,58.0625
Baraga,2024,55.125
Barry,2013,43.2
Barry,2014,47.275
Barry,2015,54.85
Barry,2016,57.325
Barry,2017,62.8875
Barry,2018,64.3625
Barry,2019,64.4875
Barry,2020,64.9
Barry,2021,65.03333333333333
Barry,2022,64.6125
Barry,2023,63.45
Barry,2024,61.6625
Bay,2013,43.8
Bay,2014,47.45
Bay,2015,54.4875
Bay,2016,57.8375
Bay,2017,63.0875
Bay,2018,64.875
Bay,2019,65.5375
Bay,2020,66.25
Bay,2021,65.33333333333333
Bay,2022,65.07499999999999
Bay,2023,64.4625
Bay,2024,62.650000000000006
Benzie,2013,41.2
Benzie,2014,42.0625
Benzie,2015,45.3875
Benzie,2016,45.45
Benzie,2017,54.7375
Benzie,2018,62.95
Benzie,2019,62.15
Benzie,2020,62.0375
Benzie,2021,61.050000000000004
Benzie,2022,60.4875
Benzie,2023,60.0375
Benzie,2024,57.95
Berrien,2013,39.35
Berrien,2014,41.75
Berrien,2015,47.4625
Berrien,2016,50.3875
Berrien,2017,54.775
Berrien,2018,54.2
Berrien,2019,53.462500000000006
Berrien,2020,51.8
Berrien,2021,50.68333333333333
Berrien,2022,49.7875
Berrien,2023,50.1875
Berrien,2024,49.675
Branch,2013,44.400000000000006
Branch,2014,46.675
Branch,2015,54.9375
Branch,2016,58.75
Branch,2017,65.7125
Branch,2018,63.15
Branch,2019,59.1375
Branch,2020,57.287499999999994
Branch,2021,55.58333333333333
Branch,2022,54.1375
Branch,2023,53.962500000000006
Branch,2024,53.8
Calhoun,2013,49.05
Calhoun,2014,52.012499999999996
Calhoun,2015,56.95
Calhoun,2016,61.5375
Calhoun,2017,66.925
Calhoun,2018,66.4375
Calhoun,2019,64.875
Calhoun,2020,63.65
Calhoun,2021,60.5
Calhoun,2022,58.3625
Calhoun,2023,57.95
Calhoun,2024,56.8875
Cass,2013,38.800000000000004
Cass,2014,40.875
Cass,2015,47.3125
Cass,2016,45.849999999999994
Cass,2017,49.575
Cass,2018,48.0875
Cass,2019,47.3875
Cass,2020,46.3875
Cass,2021,45.36666666666667
Cass,2022,44.9125
Cass,2023,45.7375
Cass,2024,45.325
Charlevoix,2013,40.95
Charlevoix,2014,44.4
Charlevoix,2015,50.4125
Charlevoix,2016,56.3875
Charlevoix,2017,62.8125
Charlevoix,2018,63.375
Charlevoix,2019,62.6125
Charlevoix,2020,62.800000000000004
Charlevoix,2021,62.516666666666666
Charlevoix,2022,61.8875
Charlevoix,2023,61.35
Charlevoix,2024,60.8625
Cheboygan,2013,39.95
Cheboygan,2014,43.737500000000004
Cheboygan,2015,50.324999999999996
Cheboygan,2016,52.9
Cheboygan,2017,59.825
Cheboygan,2018,62.8625
Cheboygan,2019,62.4875
Cheboygan,2020,61.05
Cheboygan,2021,60.46666666666667
Cheboygan,2022,61.6125
Cheboygan,2023,61.8
Cheboygan,2024,62.3125
Chippewa,2013,52.05
Chippewa,2014,54.6
Chippewa,2015,55.55
Chippewa,2016,58.2625
Chippewa,2017,61.1875
Chippewa,2018,61.575
Chippewa,2019,61.35
Chippewa,2020,60.75
Chippewa,2021,59.233333333333334
Chippewa,2022,57.725
Chippewa,2023,57.325
Chippewa,2024,55.8
Clare,2013,41.1
Clare,2014,42.8125
Clare,2015,50.2
Clare,2016,51.1375
Clare,2017,54.6875
Clare,2018,55.962500000000006
Clare,2019,57.275
Clare,2020,56.012499999999996
Clare,2021,55.583333333333336
Clare,2022,55.4375
Clare,2023,54.9
Clare,2024,54.075
Clinton,2013,37.75
Clinton,2014,43.775
Clinton,2015,49.2375
Clinton,2016,52.762499999999996
Clinton,2017,58.2
Clinton,2018,61.400000000000006
Clinton,2019,63.3
Clinton,2020,64.9125
Clinton,2021,64.68333333333334
Clinton,2022,64.875
Clinton,2023,64.05
Clinton,2024,62.3125
Crawford,2013,49.45
Crawford,2014,52.95
Crawford,2015,59.75
Crawford,2016,63.462500000000006
Crawford,2017,67.6375
Crawford,2018,66.2875
Crawford,2019,63.8375
Crawford,2020,62.6875
Crawford,2021,61.36666666666667
Crawford,2022,59.825
Crawford,2023,60.675
Crawford,2024,60.8125
Delta,2013,40.85
Delta,2014,44.275
Delta,2015,50.5875
Delta,2016,52.96249999999999
Delta,2017,56.9
Delta,2018,57.487500000000004
Delta,2019,57.825
Delta,2020,58.575
Delta,2021,58.45
Delta,2022,58.6375
Delta,2023,58.212500000000006
Delta,2024,57.8
Detroit,2013,37.1
Detroit,2014,40.0625
Detroit,2015,48.487500000000004
Detroit,2016,50.475
Detroit,2017,58.6875
Detroit,2018,60
Detroit,2019,59.475
Detroit,2020,59.025
Detroit,2021,56.8
Detroit,2022,55.2875
Detroit,2023,55.6875
Detroit,2024,55.475
Dickinson,2013,45
Dickinson,2014,47.8
Dickinson,2015,54.15
Dickinson,2016,56.599999999999994
Dickinson,2017,58.725
Dickinson,2018,57.675000000000004
Dickinson,2019,57.1625
Dickinson,2020,57.3625
Dickinson,2021,59.03333333333333
Dickinson,2022,59.825
Dickinson,2023,60.0375
Dickinson,2024,59.925
Eaton,2013,37.25
Eaton,2014,42.55
Eaton,2015,50.4
Eaton,2016,54.224999999999994
Eaton,2017,59.6625
Eaton,2018,61.4125
Eaton,2019,62.5625
Eaton,2020,62.125
Eaton,2021,61.25
Eaton,2022,60.337500000000006
Eaton,2023,59.5875
Eaton,2024,58.975
Emmet,2013,41.849999999999994
Emmet,2014,45.7625
Emmet,2015,52.7625
Emmet,2016,55.5375
Emmet,2017,60.2
Emmet,2018,60.8625
Emmet,2019,60.3125
