county,total_waivers,total_students,waiver_rate
Houghton,51,375,13.6
Antrim,31,229,13.5
Emmet,31,239,13
Lapeer,113,883,12.8
Gd. Traverse,87,800,10.9
Manistee,39,357,10.9
Missaukee,15,143,10.5
Huron,22,218,10.1
Ontonagon,3,30,10
Newaygo,42,450,9.3
Oscoda,5,55,9.1
Gladwin,21,237,8.9
Livingston,158,1806,8.7
Benzie,8,94,8.5
Osceola,21,247,8.5
Mason,21,253,8.3
St. Clair,115,1388,8.3
Crawford,8,97,8.2
Kalkaska,11,137,8
Alcona,4,51,7.8
Hillsdale,33,427,7.7
St. Joseph,55,711,7.7
Macomb,636,8465,7.5
Lenawee,79,1067,7.4
Wexford,37,500,7.4
Mackinac,6,82,7.3
Otsego,18,245,7.3
Presque Isle,6,82,7.3
Schoolcraft,3,41,7.3
Chippewa,21,296,7.1
Leelanau,10,140,7.1
Menominee,13,183,7.1
Clare,18,261,6.9
Genesee,276,4143,6.7
Sanilac,28,415,6.7
Dickinson,21,319,6.6
Oakland,770,11631,6.6
Marquette,37,585,6.3
Jackson,103,1655,6.2
Roscommon,10,165,6.1
Baraga,4,67,6
Montmorency,3,50,6
Gratiot,24,412,5.8
Oceana,9,156,5.8
Detroit,348,6082,5.7
Iron,6,106,5.7
Branch,24,429,5.6
Isabella,26,464,5.6
Alger,2,37,5.4
Barry,34,630,5.4
Eaton,51,951,5.4
Ionia,35,643,5.4
Wayne,680,12645,5.4
Alpena,14,271,5.2
Tuscola,29,554,5.2
Allegan,71,1403,5.1
Clinton,38,740,5.1
Calhoun,71,1438,4.9
Arenac,9,186,4.8
Monroe,72,1499,4.8
Van Buren,51,1055,4.8
Bay,38,814,4.7
Charlevoix,11,232,4.7
Iosco,14,295,4.7
Washtenaw,161,3398,4.7
Cass,17,373,4.6
Berrien,77,1726,4.5
Ingham,134,2993,4.5
Midland,32,753,4.2
Shiawassee,33,796,4.1
Gogebic,4,106,3.8
Mecosta,17,445,3.8
Montcalm,30,792,3.8
Cheboygan,7,189,3.7
Delta,14,383,3.7
Ogemaw,4,119,3.4
Ottawa,103,3054,3.4
Kent,246,7346,3.3
Muskegon,61,1849,3.3
Kalamazoo,76,2614,2.9
Saginaw,58,2069,2.8
Luce,0,50,0
