county,total_waivers,total_students,waiver_rate
No County Affiliation,3,9,33.3
Oscoda,10,56,17.9
Houghton,69,396,17.4
Montmorency,7,49,14.3
Alger,5,38,13.2
Leelanau,17,135,12.6
Lapeer,98,801,12.2
Antrim,25,217,11.5
Missaukee,20,179,11.2
Iron,10,93,10.8
Arenac,13,122,10.7
Kalkaska,13,124,10.5
Manistee,45,452,10
Newaygo,49,511,9.6
Gd. Traverse,90,945,9.5
Presque Isle,7,78,9
Livingston,140,1656,8.5
Tuscola,42,505,8.3
Benzie,9,111,8.1
Sanilac,32,397,8.1
Wexford,47,638,7.4
Charlevoix,16,228,7
Mackinac,4,57,7
Shiawassee,48,700,6.9
St. Clair,92,1336,6.9
Alpena,19,278,6.8
Clinton,51,783,6.5
Genesee,272,4280,6.4
Branch,25,397,6.3
Lenawee,66,1066,6.2
Hillsdale,23,391,5.9
Emmet,20,343,5.8
Macomb,505,8762,5.8
Menominee,12,208,5.8
St. Joseph,40,705,5.7
Luce,2,36,5.6
Ogemaw,8,145,5.5
Crawford,5,95,5.3
Huron,13,250,5.2
Mason,16,307,5.2
Oakland,644,12304,5.2
Ingham,159,3103,5.1
Osceola,13,255,5.1
Ionia,31,625,5
Iosco,13,261,5
Jackson,77,1552,5
Roscommon,10,199,5
Midland,40,824,4.9
Otsego,14,284,4.9
Eaton,54,1125,4.8
Gladwin,8,167,4.8
Monroe,70,1464,4.8
Cass,20,429,4.7
Montcalm,33,702,4.7
Schoolcraft,3,64,4.7
Wayne,597,12814,4.7
Barry,21,466,4.5
Chippewa,14,313,4.5
Ottawa,143,3283,4.4
Allegan,50,1150,4.3
Marquette,24,579,4.1
Washtenaw,125,3159,4
Isabella,18,457,3.9
Mecosta,15,389,3.9
Muskegon,69,1795,3.8
Berrien,59,1585,3.7
Cheboygan,6,162,3.7
Clare,11,295,3.7
Kent,255,6822,3.7
Delta,12,331,3.6
Calhoun,48,1359,3.5
Kalamazoo,91,2589,3.5
Van Buren,36,1041,3.5
Dickinson,9,268,3.4
Lake,1,31,3.2
Ontonagon,1,31,3.2
Detroit,173,5672,3.1
Gogebic,3,100,3
Alcona,1,37,2.7
Bay,24,876,2.7
Gratiot,11,419,2.6
Oceana,5,200,2.5
Saginaw,40,1678,2.4
Baraga,1,58,1.7
